Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
727,mercedes-benz gle-43-amg,61023992,Mercedes-Benz,GLE 43 AMG,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,287 kW,,271 g/km,Euro 6d-TEMP,,,,,,38 400 km,4/2019,,12 l/100km (combined); 13.7 l/100km (city); 8.7 l/100km ,62599,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Apple CarPlay; Android auto,2 996 ccm,,2.0,,,,,,,,,,,
728,mercedes-benz eqs,61023998,Mercedes-Benz,EQS,Blue,Metallic,Beige interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,385 kW,,0 g/km,Euro 6d-TEMP,,,,,No,32 773 km,8/2022,,0 kWh/100km (combined),91299,EUR,Electric adjustable rear seats; Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats,,,1.0,,108 kWh,,,,,,,,,
729,peugeot 3008,61023995,Peugeot,3008,Grey,Metallic,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,,124 g/km,Euro 6,,,,,,31 201 km,5/2021,Used,6.9 l/100km (combined),36649,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1 598 ccm,,,,,,,,1735.0,,,,,
730,volkswagen golf,61023960,Volkswagen,Golf,Grey,,Other interior color,Velour interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,180 kW,85 kW,106 g/km,Euro 6d-TEMP,Lithium-ion (Li-ion),4 h,,,No,51 480 km,5/2021,Used,4.6 l/100km (combined),39849,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1 395 ccm,,,110 kW,13 kWh,Plug-in hybrid,,,1524.0,,,,,
731,volkswagen golf,61023975,Volkswagen,Golf,Grey,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,155 kW,75 kW,110 g/km,Euro 6,Lithium-ion (Li-ion),2 h,,160000 km,No,168 323 km,10/2015,Used,4.7 l/100km (combined),21049,EUR,LED headlights; Voice control; Navigation system; Sport front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Parking sensors; Multifunctional steering wheel,1 395 ccm,,,110 kW,9 kWh,Plug-in hybrid,,,1499.0,,,,,
732,volkswagen tiguan,61023964,Volkswagen,Tiguan,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,,121 g/km,Euro 6,,,,,,105 557 km,11/2021,,4.6 l/100km (combined); 5.8 l/100km (city); 4 l/100km ,26799,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Head-up display; Keyless ignition; Panoramic roof; Navigation system; Heated steering wheel; Bluetooth,1 968 ccm,,1.0,,,,,,,,,,,
733,kia ceed,61023973,Kia,Ceed,White,,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,118 kW,,0 g/km,Euro 6,,,,,,20 km,9/2023,New,,26749,EUR,LED headlights; Heated front seats; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; High beam assist,1 482 ccm,,,,,,,,,,,,,
734,ford fiesta,61023972,Ford,Fiesta,White,,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,55 kW,,102 g/km,Euro 6,,,,,,60 379 km,1/2021,Used,5.3 l/100km (combined),12899,EUR,Bluetooth; Hill-start assist; Daytime running lights,1 084 ccm,,1.0,,,,,06/2024,,,,,,
735,bmw ix1,61023971,BMW,iX1,Black,,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,WBY61EF0205X00941,Electric,Automatic,4x4,230 kW,,0 g/km,,,,,,,3 000 km,1/2023,Used,0 kWh/100km (combined),57899,EUR,Parking assist system self-steering; LED headlights; Harman/Kardon audio; Sport-suspension system; Alcantara interior; High beam assist; Alarm,,,,,,,,,,,,,,
736,bmw 218,61023969,BMW,218,Black,Metallic,Black interior,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,100 kW,,124 g/km,Euro 6,,,,,,78 400 km,11/2018,,5.3 l/100km (combined); 6.5 l/100km (city); 4.6 l/100km ,23549,EUR,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Glare-free high beam headlights; Bluetooth; Leather; Automatic A/C,1 499 ccm,,,,,,,,,,,,,
737,ford transit-courier,61023963,Ford,Transit Courier,Black,Metallic,Other interior color,Cloth interior,Cargo VAN,2/3 doors,2,not published by the seller,Diesel,Manual,4x2,73 kW,,0 g/km,Euro 6,,,,,,2 km,10/2023,Used,,23699,EUR,Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist,1 499 ccm,,,,,,,,1313.0,,,,,
738,volkswagen t6-transporter,61023974,Volkswagen,T6 Transporter,Silver,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,110 kW,,171 g/km,Euro 6d,,,,,,32 800 km,9/2022,,6.5 l/100km (combined),32799,EUR,Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Bluetooth; Hill-start assist; Parking sensors,1 968 ccm,,1.0,,,,,,,,,,,
739,mercedes-benz g-500,61023968,Mercedes-Benz,G 500,,,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,310 kW,,337 g/km,Euro 6d-TEMP,,,,,,13 582 km,4/2023,Demonstration car,14.8 l/100km (combined); 13.8 l/100km (city); 10.6 l/100km ,190449,EUR,Heated rear seats; LED headlights; Digital cockpit; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Apple CarPlay; Android auto,3 982 ccm,,1.0,,,,,,,,,,,
740,cupra formentor,61023977,Cupra,Formentor,Black,,,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,126 g/km,,,,,,,1 km,1/2023,New,5.5 l/100km (combined),37849,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Paddle shifters,1 498 ccm,,,,,,,,,,,,,
741,toyota corolla-cross,61023965,Toyota,Corolla Cross,White,,Other interior color,Cloth interior,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,103 kW,,121 g/km,No emission class,,,,,,1 km,9/2023,New,5.3 l/100km (combined); 5.3 l/100km (city); 5.3 l/100km ,34899,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA); Traffic sign recognition,1 798 ccm,,,,,,,,1515.0,Germany,,,,
742,nissan juke,61023967,Nissan,Juke,Blue,,,Cloth interior,SUV / offroad,4/5 doors,5,SJNFBAF15U8059791,Petrol,Manual,4x2,82 kW,,164 g/km,,,,,,,98 200 km,1/2019,Used,7.2 l/100km (combined),15549,EUR,Bluetooth; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; USB; Front electric windows; Rear electric windows; Alloy wheels,1 598 ccm,,,,,,,,,,,,,
743,renault captur,61023966,Renault,Captur,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x2,67 kW,,122 g/km,No emission class,,,,,,1 km,9/2023,New,5.4 l/100km (combined); 6.1 l/100km (city); 6.1 l/100km ,20749,EUR,LED headlights; Heated front seats; Apple CarPlay; Integrated music streaming; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Lane assist,999 ccm,,,,,,,,1257.0,Germany,,,,
744,jaguar f-pace,61023978,Jaguar,F-Pace,Grey,,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,132 kW,,146 g/km,Euro 6,,,,,,51 890 km,2/2020,Used,5.5 l/100km (combined),31499,EUR,Keyless ignition; Voice control; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth; Xenon headlights; Automatic A/C; Automatic lights,1 999 ccm,,1.0,,,,,06/2024,,,,,,
745,lexus ux,61023962,Lexus,UX,White,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,135 kW,,103 g/km,Euro 6d-TEMP,,,,,,43 300 km,8/2020,Used,4.5 l/100km (combined); 4.5 l/100km (city); 4.5 l/100km ,35049,EUR,Air suspension; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Integrated music streaming; Keyless ignition; Voice control,1 987 ccm,,,,,,,,1675.0,,,,,
746,renault koleos,61023961,Renault,Koleos,Grey,,,,SUV / offroad,4/5 doors,5,VF1RZG00963328240,Diesel,Automatic,4x4,130 kW,,168 g/km,,,,,,,41 040 km,1/2019,Used,6.4 l/100km (combined),22649,EUR,Bluetooth; Automatic lights; Rain sensor; Light sensor; Multifunctional steering wheel; Daytime running lights; Electrically heated side mirrors; Electrically foldable side mirrors; Front electric windows; Rear electric windows,1 995 ccm,,,,,,,,,,,,,
747,volkswagen polo,61023943,Volkswagen,Polo,White,,Black interior,Cloth interior,Sedans / saloons,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,152 kW,,128 g/km,Euro 6d,,,,,,0 km,9/2023,New,6.8 l/100km (combined),45499,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming,1 984 ccm,,,,,,,,,,,,,
748,mazda cx-30,61023958,Mazda,CX-30,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,137 kW,,116 g/km,Euro 6d,,,,,No,0 km,9/2023,New,5.9 l/100km (combined); 5.8 l/100km (city); 4.5 l/100km ,33149,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 998 ccm,,,,,Mild hybrid,,,,,,,,
749,volkswagen golf,61023956,Volkswagen,Golf,White,,Black interior,Velour interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,109 g/km,Euro 6d,,,,,,9 995 km,7/2023,Demonstration car,4.8 l/100km (combined),35199,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 498 ccm,,1.0,,,,,,,,,,,
750,audi q3,61023947,Audi,Q3,Blue,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,124 g/km,Euro 6d-TEMP,,,,,,55 581 km,2/2021,,4.7 l/100km (combined); 5.6 l/100km (city); 4.2 l/100km ,34099,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 968 ccm,,1.0,,,,,,,,,,,
751,audi sq5,61023950,Audi,SQ5,White,,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,251 kW,,185 g/km,Euro 6,,,,,,87 000 km,6/2021,Used,7 l/100km (combined),73099,EUR,Air suspension; Electric adjustable front seats; Panoramic roof; Navigation system; Bluetooth; Rear parking camera; Leather; Automatic A/C; Automatic lights; Rain sensor,2 967 ccm,,,,,,,,,,,,,
752,kia ceed,61023954,Kia,Ceed,Blue,,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,85 kW,,105 g/km,Euro 6,,,,,,59 048 km,6/2019,Used,4 l/100km (combined); 4.3 l/100km (city); 3.8 l/100km ,19849,EUR,Keyless ignition; Automatic multi-zone A/C; Navigation system; Paddle shifters; Bluetooth; Rear parking camera; Automatic lights; Rain sensor; Hill-start assist; Daytime running lights,1 598 ccm,,,,,,,12/2024,,,,,,
753,ford fiesta,61023952,Ford,Fiesta,Black,Metallic,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,,114 g/km,Euro 6d,,,,,No,50 km,7/2023,,5.2 l/100km (combined); 6.7 l/100km (city); 4.5 l/100km ,24149,EUR,LED headlights; Heated front seats; Voice control; Heated steering wheel; Sport front seats; Bluetooth; Automatic A/C; High beam assist; Light sensor; Lane assist,999 ccm,09/2026,1.0,,,Mild hybrid,,,,,,,,
754,audi a6-allroad,61023953,Audi,A6 Allroad,Black,,,Part leather interior,Station Wagon,4/5 doors,5,V6newBangDVDpneum,Diesel,Automatic,4x4,170 kW,,160 g/km,,,,,,,105 km,1/2023,New,6.1 l/100km (combined),77399,EUR,Laser headlights; Air suspension; Height adjustable suspension; Front seats with memory; Electric adjustable front seats; Bang & Olufsen audio; Heated front seats; Apple CarPlay; Android auto; Internet connection,2 967 ccm,,,,,,,,,,,,,
755,volkswagen tiguan,61023955,Volkswagen,Tiguan,White,,,,SUV / offroad,4/5 doors,5,WVGZZZ5NZLW909291,Diesel,Automatic,4x2,110 kW,,129 g/km,,,,,,,128 724 km,1/2020,Used,4.9 l/100km (combined),30949,EUR,Heated rear seats; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Heated steering wheel; Bluetooth; Automatic A/C,1 968 ccm,,,,,,,,,,,,,
756,volvo xc40,61023944,Volvo,XC40,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,300 kW,,0 g/km,No emission class,Lithium-ion (Li-ion),,,160000 km,No,3 625 km,2/2023,Used,0 kWh/100km (combined),48999,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Integrated music streaming; Keyless ignition; Voice control,,02/2026,1.0,,,,,,,,,,,
757,bmw x7,61023949,BMW,X7,Black,Metallic,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,294 kW,,186 g/km,Euro 6d-TEMP,,,,,,90 606 km,9/2019,,7.1 l/100km (combined); 7.8 l/100km (city); 6.7 l/100km ,79649,EUR,Laser headlights; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control,2 993 ccm,,1.0,,,,,,,,,,,
758,renault kadjar,61023941,Renault,Kadjar,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,,135 g/km,No emission class,,,,,,34 702 km,1/2021,Used,5.9 l/100km (combined); 5.9 l/100km (city); 5.9 l/100km ,22099,EUR,Bluetooth; Automatic A/C; Side mirrors with electic adjustment; Alarm; USB,1 332 ccm,,,,,,,,1442.0,Spain,,,,
759,renault megane,61023938,Renault,Megane,Black,Metallic,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,,not published by the seller,Electric,Automatic,4x2,96 kW,,0 g/km,No emission class,,,,,,10 km,9/2023,New,,45849,EUR,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,,,,,,,,,,,,,,
760,volvo xc40,61023930,Volvo,XC40,Black,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,95 kW,,142 g/km,No emission class,,,,,,21 835 km,8/2021,Used,6.3 l/100km (combined); 6.3 l/100km (city); 6.3 l/100km ,29949,EUR,Bluetooth; USB,1 477 ccm,,,,,,,,1509.0,Spain,,,,
761,audi q3,61023933,Audi,Q3,White,,,,SUV / offroad,4/5 doors,5,WAUZZZF32M1115117,Diesel,Automatic,4x2,110 kW,,124 g/km,,,,,,,39 000 km,1/2021,Used,4.7 l/100km (combined),45099,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Apple CarPlay; Internet connection; Keyless ignition; Voice control; Navigation system; Sport front seats,1 968 ccm,,,,,,,,,,,,,
762,peugeot 208,61023936,Peugeot,208,White,,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,97 g/km,Euro 6,,,,,,73 001 km,12/2019,Used,4.2 l/100km (combined),16399,EUR,Automatic A/C; Automatic lights; Rain sensor; Autom. dimming side mirros; Daytime running lights; Electrically foldable side mirrors; Front electric windows,1 199 ccm,,,,,,,12/2024,,,,,,
763,cupra formentor,61023937,Cupra,Formentor,White,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,123 g/km,Euro 6d,,,,,,10 km,7/2023,New,5.4 l/100km (combined); 6.3 l/100km (city); 5 l/100km ,32599,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Keyless ignition; Voice control; Sport front seats; Bluetooth; High beam assist; Rain sensor,1 498 ccm,,,,,,,,,,,,,
764,hyundai kona,61023932,Hyundai,Kona,Red,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,104 kW,32 kW,90 g/km,Euro 6d-TEMP,Lithium polymer (Li-pol),,,160000 km,No,74 792 km,5/2020,,3.9 l/100km (combined); 4 l/100km (city); 4.5 l/100km ,21099,EUR,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Paddle shifters; Traffic sign recognition; Bluetooth,1 580 ccm,,2.0,78 kW,2 kWh,Full hybrid,,,,,,,,
765,kia sportage,61023929,Kia,Sportage,Red,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,100 kW,,114 g/km,Euro 6,,,,,No,15 km,9/2023,New,4.3 l/100km (combined); 4.3 l/100km (city); 4.3 l/100km ,37349,EUR,LED headlights; Digital cockpit; Smart key; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control,1 598 ccm,,,,,Mild hybrid,,,,,,,,
766,mercedes-benz e-400,61023925,Mercedes-Benz,E 400,Black,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,250 kW,,199 g/km,Euro 6d-TEMP,,,,,,58 644 km,11/2019,,7.6 l/100km (combined); 7.6 l/100km (city); 5.7 l/100km ,55299,EUR,Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Apple CarPlay,2 925 ccm,,,,,,,,,,,,,
767,volkswagen polo,61023927,Volkswagen,Polo,White,Metallic,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,59 kW,,99 g/km,Euro 6c,,,,,,106 920 km,1/2019,Used,3.8 l/100km (combined),15899,EUR,Apple CarPlay; Android auto; Navigation system; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Parking sensors; Multifunctional steering wheel,1 598 ccm,,,,,,,,1280.0,,,,,
768,jeep renegade,61023928,Jeep,Renegade,White,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,111 kW,,146 g/km,Euro 6d-TEMP,,,,,,71 006 km,8/2019,,6.4 l/100km (combined); 7.9 l/100km (city); 5.9 l/100km ,19549,EUR,Electric adjustable front seats; Heated front seats; Integrated music streaming; Heated steering wheel; Traffic sign recognition; Bluetooth; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1 332 ccm,08/2024,2.0,,,,,,,,,,,
769,mazda 6,61023931,Mazda,6,White,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,121 kW,,164 g/km,Euro 6d,,,,,,0 km,9/2023,New,7.2 l/100km (combined); 7.7 l/100km (city); 5.5 l/100km ,37349,EUR,LED headlights; Adaptive cruise control; Head-up display; Apple CarPlay; Android auto; Navigation system; Glare-free high beam headlights; Rear cross traffic alert (RCTA); Traffic sign recognition; Adaptive lighting,1 998 ccm,,,,,,,,,,,,,
770,bmw x2,61023935,BMW,X2,Black,Metallic,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,141 kW,,0 g/km,Euro 6d,,,,,,25 200 km,3/2022,,,36299,EUR,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Navigation system,1 998 ccm,,1.0,,,,,,,,,,,
771,opel vivaro,61023923,Opel,Vivaro,,,Other interior color,Other interior material,Cargo VAN,,9+,not published by the seller,Diesel,Manual,4x2,93 kW,,163 g/km,No emission class,,,,,,90 302 km,10/2018,Used,6.1 l/100km (combined),29199,EUR,Navigation system; Bluetooth; Side mirrors with electic adjustment; On-board computer; Front electric windows,1 ccm,,,,,,,,,,,,,
