CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
toyota corolla-cross,61184127,Toyota,Corolla Cross,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,145,120,No emission class,50,01/09/2023,New,5.3,38949,0,1987,LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition
seat leon,61184133,Seat,Leon,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,110,115,Euro 6,6503,01/05/2023,Used,5,32549,1,1498,Front seats with memory; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Sport front seats; Rear parking camera; Automatic lights; Rain sensor; Lane assist
audi q8,61184125,Audi,Q8,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210,175,No emission class,81000,01/01/2019,Used,6.6,70899,0,2967,Digital cockpit; Android auto; Bluetooth; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Front electric windows; Alloy wheels
bmw x2,61184131,BMW,X2,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,162,40,Euro 6,36337,01/12/2020,Used,4.8,38749,1,1499,Electric adjustable front seats; Heated front seats; Automatic multi-zone A/C; Navigation system; Rear parking camera; Autom. dimming side mirros; Multifunctional steering wheel; Electrically heated side mirrors; Leather steering wheel; Alloy wheels
mercedes-benz g-63-amg,61184132,Mercedes-Benz,G 63 AMG,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,430,299,Euro 6d,15,01/09/2023,New,13.1,207249,0,3982,Driver's seat with massage function; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto
kia sportage,61184137,Kia,Sportage,Orange,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,159,Euro 6,250,01/01/2022,New,6.9,30249,0,1598,Heated rear seats; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Bluetooth
fiat tipo,61184140,Fiat,Tipo,Grey,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,Diesel,Manual,4x2,88,117,Euro 6,66954,01/06/2021,Used,4.4,20499,0,1598,Bluetooth; USB
fiat freemont,61184143,Fiat,Freemont,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Diesel,Automatic,4x4,125,194,Euro 5,68733,01/08/2012,Used,7.3,18499,0,1956,Heated front seats; Navigation system; Bluetooth; Leather; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
citroen c3,61184126,Citroen,C3,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,81,120,Euro 6,5000,01/09/2023,Used,5.9,26199,0,1199,Heated front seats; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist
renault megane,61184129,Renault,Megane,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,162,0,Euro 6,13721,01/09/2022,Used,5.534431978,31499,1,1499,Heated front seats; Heated steering wheel; Traffic sign recognition; Rear parking camera; Automatic A/C; Daytime running lights; Leather steering wheel; Front electric windows
bmw 218-gran-tourer,61184124,BMW,218 Gran Tourer,Black,Black interior,Cloth interior,MPV,4/5 doors,5,Diesel,Automatic,4x2,110,125,Euro 6,130000,01/12/2019,Used,4.6,19549,1,1995,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; El. tailgate; Bluetooth; Automatic 2-zones air conditioning
hyundai ioniq-5,61184138,Hyundai,Ioniq 5,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,168,0,No emission class,7010,01/05/2023,Demonstration car,5.534431978,58549,0,1499,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition
bmw 320,61184121,BMW,320,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,0,Euro 6d,116836,01/12/2020,Used,4.8,31999,0,1995,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; WLAN/Wifi hotspot; Keyless ignition
opel crossland,61184134,Opel,Crossland,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,61,106,No emission class,38617,01/10/2019,Used,4.6,16749,0,1200,Bluetooth; Front electric windows; Alloy wheels
volkswagen golf,61184120,Volkswagen,Golf,Red,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,110,116,Euro 6d,73290,01/04/2020,Used,5.1,24149,1,1498,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth
peugeot 308,61184123,Peugeot,308,Green,Grey interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,96,0,No emission class,95000,01/04/2022,Used,5.5,21099,0,1200,Heated front seats; Voice control; Paddle shifters; Bluetooth; Rain sensor; On-board computer; Start-stop system; Heated windshield
citroen jumper,61184105,Citroen,Jumper,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,103,170,Euro 6,123250,01/03/2020,Used,6.5,17549,1,2179,Navigation system; Bluetooth; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; CD player
suzuki sx4,61184116,Suzuki,SX4,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,88,165,Euro 5,123000,01/08/2011,Used,7.2,8749,0,1586,Hill-start assist; Side mirrors with electic adjustment; On-board computer; CD player; Front electric windows; Alloy wheels; Central locking with remote
mercedes-benz e-63-amg,61184119,Mercedes-Benz,E 63 AMG,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,450,207,Euro 6,92000,01/10/2017,Used,9.1,71349,0,3982,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display
ford fiesta,61184117,Ford,Fiesta,Silver,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,114,Euro 6d,15722,01/12/2022,Used,5.2,21349,1,999,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Heated steering wheel
opel corsa,61184118,Opel,Corsa,White,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,98,Euro 6d,13300,01/10/2022,Used,4.3,19299,1,1199,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition
bmw 218-active-tourer,61184110,BMW,218 Active Tourer,White,Black interior,Cloth interior,MPV,4/5 doors,5,Diesel,Manual,4x4,110,114,Euro 6,130810,01/08/2020,Used,4.3,16799,1,1995,LED headlights; Heated front seats; Navigation system; El. tailgate; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment
volkswagen golf,61184112,Volkswagen,Golf,Blue,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,77,134,Euro 5,65800,01/10/2011,Used,5.8,11899,1,1197,Heated front seats; Navigation system; Paddle shifters; Automatic 2-zones air conditioning; Alcantara interior; Light sensor; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
citroen c3-aircross,61184111,Citroen,C3 Aircross,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,81,94,No emission class,14110,01/03/2023,Used,3.6,23699,0,1499,Bluetooth; USB
renault captur,61184106,Renault,Captur,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,87,125,Euro 6,30000,01/01/2018,Used,5.5,16749,1,1197,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor
abarth 595,61184113,Abarth,595,Red,Grey interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,121,159,Euro 6d-TEMP,1,01/01/2023,New,6.6,27149,0,1368,Apple CarPlay; Android auto; Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; USB; Front electric windows; Alloy wheels
dacia duster,61184114,Dacia,Duster,Orange,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,92,138,Euro 6,26466,01/07/2018,Used,6.2,15899,0,1197,Heated front seats; Navigation system; Parking cameras; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; USB; Front electric windows; Alloy wheels
kia niro,61184109,Kia,Niro,Black,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,104,101,Euro 6,43391,01/01/2021,Used,4.4,27349,1,1580,Keyless ignition; Parking cameras; Paddle shifters; Leather; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Daytime running lights
citroen c4,61184107,Citroen,C4,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,96,90,No emission class,37870,01/04/2022,Used,3.4,21099,0,1499,On-board computer
citroen c5-aircross,61184096,Citroen,C5 Aircross,Grey,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,132,123,Euro 6d-TEMP,60504,01/02/2020,Used,4.7,26149,1,1997,Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system; El. tailgate
bmw ix1,61184092,BMW,iX1,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,230,0,Euro 6,4162,01/07/2023,Used,5.534431978,67849,0,1499,Digital cockpit; Harman/Kardon audio; Heated front seats; Head-up display; Panoramic roof; Sport front seats; Autom. dimming side mirros; Leather steering wheel; Electrically foldable side mirrors
audi q5,61184090,Audi,Q5,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,150,142,Euro 6d,6882,01/11/2022,Used,5.4,46899,1,1968,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition
bmw 218-gran-tourer,61184124,BMW,218 Gran Tourer,Black,Black interior,Cloth interior,MPV,4/5 doors,5,Diesel,Automatic,4x2,110,125,Euro 6,130000,01/12/2019,Used,4.6,19549,1,1995,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; El. tailgate; Bluetooth; Automatic 2-zones air conditioning
opel crossland,61184134,Opel,Crossland,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,61,106,No emission class,38617,01/10/2019,Used,4.6,16749,0,1200,Bluetooth; Front electric windows; Alloy wheels
hyundai i30,61184128,Hyundai,i30,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,202,170,No emission class,62139,01/07/2019,Used,7.1,27249,0,1998,Heated front seats; Bluetooth; Automatic A/C; High beam assist; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Alarm; USB
hyundai i20,61184139,Hyundai,i20,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,104,Euro 6d,10,01/10/2023,New,4.5,22149,1,998,Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Heated steering wheel
suzuki vitara,61184142,Suzuki,Vitara,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x4,95,111,No emission class,10,01/11/2023,Used,5.8,23099,0,1373,Heated front seats; Navigation system; Traffic sign recognition; Light sensor; Multifunctional steering wheel; Daytime running lights; Leather steering wheel; Alarm; Start-stop system; Front electric windows
bmw 320,61184121,BMW,320,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,0,Euro 6d,116836,01/12/2020,Used,4.8,31999,0,1995,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; WLAN/Wifi hotspot; Keyless ignition
peugeot 308,61184123,Peugeot,308,Green,Grey interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,96,0,No emission class,95000,01/04/2022,Used,5.5,21099,0,1200,Heated front seats; Voice control; Paddle shifters; Bluetooth; Rain sensor; On-board computer; Start-stop system; Heated windshield
kia niro,61184109,Kia,Niro,Black,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,104,101,Euro 6,43391,01/01/2021,Used,4.4,27349,1,1580,Keyless ignition; Parking cameras; Paddle shifters; Leather; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Daytime running lights
ford fiesta,61184117,Ford,Fiesta,Silver,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,114,Euro 6d,15722,01/12/2022,Used,5.2,21349,1,999,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Heated steering wheel
citroen c3-aircross,61184111,Citroen,C3 Aircross,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,81,94,No emission class,14110,01/03/2023,Used,3.6,23699,0,1499,Bluetooth; USB
citroen jumper,61184105,Citroen,Jumper,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,103,170,Euro 6,123250,01/03/2020,Used,6.5,17549,1,2179,Navigation system; Bluetooth; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; CD player
bmw 218-active-tourer,61184110,BMW,218 Active Tourer,White,Black interior,Cloth interior,MPV,4/5 doors,5,Diesel,Manual,4x4,110,114,Euro 6,130810,01/08/2020,Used,4.3,16799,1,1995,LED headlights; Heated front seats; Navigation system; El. tailgate; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment
suzuki sx4,61184116,Suzuki,SX4,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,88,165,Euro 5,123000,01/08/2011,Used,7.2,8749,0,1586,Hill-start assist; Side mirrors with electic adjustment; On-board computer; CD player; Front electric windows; Alloy wheels; Central locking with remote
mercedes-benz e-63-amg,61184119,Mercedes-Benz,E 63 AMG,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,450,207,Euro 6,92000,01/10/2017,Used,9.1,71349,0,3982,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display
opel corsa,61184118,Opel,Corsa,White,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,98,Euro 6d,13300,01/10/2022,Used,4.3,19299,1,1199,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition
volkswagen golf,61184112,Volkswagen,Golf,Blue,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,77,134,Euro 5,65800,01/10/2011,Used,5.8,11899,1,1197,Heated front seats; Navigation system; Paddle shifters; Automatic 2-zones air conditioning; Alcantara interior; Light sensor; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
renault captur,61184106,Renault,Captur,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,87,125,Euro 6,30000,01/01/2018,Used,5.5,16749,1,1197,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor
abarth 595,61184113,Abarth,595,Red,Grey interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,121,159,Euro 6d-TEMP,1,01/01/2023,New,6.6,27149,0,1368,Apple CarPlay; Android auto; Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; USB; Front electric windows; Alloy wheels
dacia duster,61184114,Dacia,Duster,Orange,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,92,138,Euro 6,26466,01/07/2018,Used,6.2,15899,0,1197,Heated front seats; Navigation system; Parking cameras; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; USB; Front electric windows; Alloy wheels
citroen c4,61184107,Citroen,C4,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,96,90,No emission class,37870,01/04/2022,Used,3.4,21099,0,1499,On-board computer
citroen c4,61184107,Citroen,C4,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,96,90,No emission class,37870,01/04/2022,Used,3.4,21099,0,1499,On-board computer
citroen c5-aircross,61184096,Citroen,C5 Aircross,Grey,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,132,123,Euro 6d-TEMP,60504,01/02/2020,Used,4.7,26149,1,1997,Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system; El. tailgate
bmw x2,61184095,BMW,X2,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,225,188,Euro 6d,37999,01/05/2020,Used,6.9,30899,1,1998,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system
peugeot 3008,61184104,Peugeot,3008,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,96,108,Euro 6,33983,01/04/2021,Used,5.5,31499,1,1499,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist
bmw ix1,61184092,BMW,iX1,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,230,0,Euro 6,4162,01/07/2023,Used,5.534431978,67849,0,1499,Digital cockpit; Harman/Kardon audio; Heated front seats; Head-up display; Panoramic roof; Sport front seats; Autom. dimming side mirros; Leather steering wheel; Electrically foldable side mirrors
audi q5,61184090,Audi,Q5,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,150,142,Euro 6d,6882,01/11/2022,Used,5.4,46899,1,1968,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition
ford fiesta,61184091,Ford,Fiesta,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,LPG,Manual,4x2,55,115,Euro 6,156000,01/10/2019,Used,5.1,11199,0,1084,Bluetooth; Side mirrors with electic adjustment; On-board computer; USB
volkswagen arteon,61184102,Volkswagen,Arteon,White,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,140,141,Euro 6d-TEMP,50900,01/09/2019,Demonstration car,6.2,32599,1,1984,Driver's seat with massage function; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
jeep renegade,61184089,Jeep,Renegade,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,88,134,No emission class,39606,01/02/2022,Used,5.9,22149,0,999,Bluetooth; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Alarm; Start-stop system; Front electric windows
ford mustang-mach-e,61184098,Ford,Mustang Mach-E,Blue,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,358,0,No emission class,10,01/12/2023,New,5.534431978,81799,1,1499,LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Panoramic roof; Voice control; Navigation system
peugeot 3008,61184101,Peugeot,3008,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,96,101,Euro 6,73744,01/12/2019,Used,3.8,23299,1,1499,Bluetooth; USB
citroen c3,61184094,Citroen,C3,Beige,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,81,120,Euro 6,31219,01/04/2021,Used,5.9,18599,1,1199,Automatic A/C
mercedes-benz c-300,61184103,Mercedes-Benz,C 300,Silver,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,230,0,Euro 6d-TEMP,627,01/06/2023,Used,4.8,55299,1,1999,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming
volkswagen golf,61184093,Volkswagen,Golf,Red,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,135,131,Euro 6d-TEMP,78146,01/10/2019,Used,5,25749,1,1968,LED headlights; Adaptive cruise control; Heated front seats; Navigation system; Glare-free high beam headlights; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Adaptive lighting
ford transit,61184097,Ford,Transit,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,96,195,Euro 6,10,01/11/2023,New,7.5,50549,0,1995,Bluetooth; Rain sensor; Light sensor; Lane assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; Alarm
jeep compass,61184088,Jeep,Compass,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,88,142,Euro 6,53150,01/11/2020,Used,5,22549,1,1598,Bluetooth; USB
citroen c5-x,61184100,Citroen,C5 X,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,133,147,Euro 6,6823,01/12/2022,Used,6.2,38149,1,1598,Automatic multi-zone A/C; Automatic lights; Lane assist; Hill-start assist; Parking sensors; Multifunctional steering wheel; Daytime running lights; Automatic parking brake
volvo v60,61184099,Volvo,V60,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,120,142,Euro 6,53843,01/08/2022,Used,6.3,45049,0,1969,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof
audi a6,61184079,Audi,A6,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,195,159,Euro 6d,24826,01/03/2023,Used,7,58749,1,1984,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Panoramic roof; Navigation system
mercedes-benz gla-200,61184078,Mercedes-Benz,GLA 200,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,115,134,Euro 6,143000,01/04/2015,Used,5.8,18949,2,1595,Parking assist system self-steering; Electric adjustable front seats; Heated front seats; Navigation system; Paddle shifters; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Light sensor
mercedes-benz gla-200,61184078,Mercedes-Benz,GLA 200,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,115,134,Euro 6,143000,01/04/2015,Used,5.8,18949,2,1595,Parking assist system self-steering; Electric adjustable front seats; Heated front seats; Navigation system; Paddle shifters; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Light sensor
peugeot 208,61184083,Peugeot,208,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,0,Euro 6,1947,01/03/2022,Used,5.534431978,25899,0,1499,Head-up display; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic A/C; Automatic lights; Rain sensor
toyota corolla,61184069,Toyota,Corolla,Blue,Black interior,Other interior material,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,90,77,Euro 6,53937,01/05/2021,Used,3.4,22249,0,1798,Bluetooth; USB
seat leon,61184082,Seat,Leon,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,110,117,Euro 6,133750,01/01/2019,Used,5.1,17399,0,1500,LED headlights; Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Automatic lights; Light sensor; Hill-start assist; Multifunctional steering wheel
ford fiesta,61184084,Ford,Fiesta,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,110,Euro 6,38799,01/09/2019,Used,5.1,13899,1,998,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Bluetooth; Light sensor; Lane assist; Hill-start assist; Multifunctional steering wheel
tesla model-3,61184076,Tesla,Model 3,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x2,225,0,Euro 6,30000,01/01/2019,Used,5.534431978,30999,0,1499,Autonomous driving; LED headlights; Front seats with memory; Electric adjustable front seats; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; Bluetooth; Induction charging for smartphones
volkswagen t-roc,61184087,Volkswagen,T-Roc,Blue,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,119,No emission class,28445,01/05/2022,Used,6,26649,0,1689.229062,Bluetooth; USB
toyota yaris,61184080,Toyota,Yaris,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,92,0,Euro 6,45794,01/01/2022,Used,5.5,16949,0,1490,Adaptive cruise control; Apple CarPlay; Android auto; Traffic sign recognition; Bluetooth; Adaptive lighting; Automatic lights; High beam assist; Rain sensor; Light sensor
dacia duster,61184073,Dacia,Duster,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,141,Euro 6,89941,01/09/2021,Used,6.2,18999,1,1332,Rear parking camera; Automatic A/C; Blind spot assist; Hill-start assist; Daytime running lights; Electrically heated side mirrors; USB; Front electric windows; Alloy wheels
ds-automobiles 4,61184077,DS Automobiles,4,Grey,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,132,28,Euro 6,10536,01/07/2023,Demonstration car,4.8,48099,0,1599,Laser headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; El. tailgate
