,Power,Hybrid type,Range extender,Transmission,Doors,Model,Condition,Battery warranty (km),Mileage,Valid MOT until,Battery capacity,CO2 emissions,El. motor power,First registration,Energy efficiency,Battery type,Country of origin,DC charging time,Emission class,Fuel,Drive type,AC charging time,Secondary drive,Body,Make,Interior color,Engine power,CARNAME,Currency,Weight,Engine capacity,VIN,ID,Tags,Type of finish,Price,Consumption,Full service history,Interior material,Body color,Previous owners,Seats,Warranty until,Electric range
836,132 kW,,,Automatic,4/5 doors,A4,Used,,93 000 km,,,172 g/km,,11/2010,,,Germany,,No emission class,Petrol,4x2,,,Station Wagon,Audi,Other interior color,,audi a4,EUR,,1 984 ccm,not published by the seller,61185624,Heated front seats; Bluetooth; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Front electric windows; Alloy wheels,Metallic,11899,7.3 l/100km (combined); 7.3 l/100km (city); 7.3 l/100km ,,Cloth interior,Grey,,5,,
837,81 kW,,,Manual,4/5 doors,C3 Aircross,Used,,7 953 km,,,94 g/km,,4/2022,,,Spain,,No emission class,Diesel,4x2,,,SUV / offroad,Citroen,Other interior color,,citroen c3-aircross,EUR,1205,1 499 ccm,not published by the seller,61185628,Bluetooth; USB,,23149,3.6 l/100km (combined),,Other interior material,White,,5,,
838,96 kW,,,Manual,4/5 doors,Transit Custom,Used,,10 km,,,170 g/km,,3/2023,,,,,No emission class,Diesel,4x2,,,Cargo VAN,Ford,Other interior color,,ford transit-custom,EUR,,1 995 ccm,not published by the seller,61185625,Rain sensor; Light sensor; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system; Front electric windows,Metallic,35599,6.4 l/100km (combined),,Other interior material,Black,,3,,
839,80 kW,,,Manual,4/5 doors,B 180,Used,,54 753 km,,,106 g/km,,1/2018,,,,,Euro 6,Diesel,4x2,,,MPV,Mercedes-Benz,Black interior,,mercedes-benz b-180,EUR,,1 461 ccm,not published by the seller,61185620,,,20549,4.4 l/100km (combined); 4.9 l/100km (city); 4 l/100km ,,,Black,,5,12/2025,
840,331 kW,,,Automatic,2/3 doors,991,Used,,25 700 km,,,205 g/km,,1/2019,,,,,No emission class,Petrol,4x2,,,Coupe,Porsche,Other interior color,,porsche 991,EUR,1950,2 981 ccm,not published by the seller,61185592,Adaptive cruise control; Navigation system; Sport front seats; Bluetooth; Automatic A/C; Sport-exhaust system; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; USB,,135399,8.9 l/100km (combined); 8.5 l/100km (city); 8.5 l/100km ,,Other interior material,Red,,4,,
841,110 kW,,,Automatic,4/5 doors,T-Roc,Used,,25 990 km,,,127 g/km,,10/2020,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Volkswagen,Black interior,,volkswagen t-roc,EUR,,1 498 ccm,not published by the seller,61185593,Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; El. tailgate; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,Metallic,25849,5.6 l/100km (combined),,Cloth interior,Grey,,5,,
842,165 kW,,,Automatic,4/5 doors,C5 Aircross,,,258 km,,,0 g/km,,12/2022,,,Spain,,No emission class,Other fuel type,4x2,,,SUV / offroad,Citroen,Other interior color,,citroen c5-aircross,EUR,,1 600 ccm,not published by the seller,61185588,Bluetooth; USB,,39349,1.4 l/100km (combined),,Other interior material,White,,,,
843,120 kW,,,Manual,2/3 doors,Boxer,Used,,46 548 km,,,163 g/km,,1/2019,,,Germany,,Euro 6,Diesel,4x2,,,Cargo VAN,Peugeot,Black interior,,peugeot boxer,EUR,2060,1 997 ccm,not published by the seller,61185598,Air suspension; Bluetooth; Rain sensor; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; USB; Front electric windows,,26249,6.2 l/100km (combined); 6.2 l/100km (city); 6.2 l/100km ,,Cloth interior,White,,3,,
844,92 kW,,,Manual,4/5 doors,Puma,Used,,43 691 km,,,106 g/km,,12/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,SUV / offroad,Ford,Other interior color,,ford puma,EUR,1180,998 ccm,not published by the seller,61185590,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,,26299,5.7 l/100km (combined),,Part leather interior,Grey,,5,,
845,110 kW,,,Manual,4/5 doors,Octavia,,,55 675 km,,,124 g/km,,11/2018,,,,,Euro 6,Petrol,4x2,,,Station Wagon,Skoda,Black interior,,skoda octavia,EUR,,1 498 ccm,not published by the seller,61185595,Heated front seats; Apple CarPlay; Android auto; Voice control; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel,,18999,5.3 l/100km (combined),,Cloth interior,White,,5,,
846,147 kW,,,Automatic,4/5 doors,Golf,,,38 590 km,,,128 g/km,,3/2022,,,,,Euro 6d,Diesel,4x4,,,Station Wagon,Volkswagen,Grey interior,,volkswagen golf,EUR,,1 968 ccm,not published by the seller,61185591,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,Metallic,40549,4.8 l/100km (combined); 6 l/100km (city); 4.2 l/100km ,,Cloth interior,Black,1,5,,
847,96 kW,,,Manual,4/5 doors,4 Crossback,Used,,51 888 km,,,114 g/km,,8/2017,,,,,Euro 6,Petrol,4x2,,,Hatchback,DS Automobiles,,,ds-automobiles 4-crossback,EUR,,1 199 ccm,not published by the seller,61185594,Automatic multi-zone A/C; Navigation system; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel,,15199,4.8 l/100km (combined),,,Grey,,5,12/2024,
848,100 kW,,,Manual,4/5 doors,Insignia,,,53 830 km,,,121 g/km,,6/2018,,,,,Euro 6d-TEMP,Diesel,4x2,,,Sedans / saloons,Opel,Black interior,,opel insignia,EUR,,1 598 ccm,not published by the seller,61185586,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control,Metallic,15949,4.6 l/100km (combined); 5.7 l/100km (city); 4 l/100km ,,Part leather interior,Blue,,5,,
849,215 kW,,,Automatic,4/5 doors,330,,,16 200 km,,,0 g/km,,1/2022,,,,,No emission class,Hybrid,4x2,,,Sedans / saloons,BMW,Black interior,,bmw 330,EUR,,1 998 ccm,not published by the seller,61185585,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control,Metallic,39349,,,Part leather interior,Grey,1,5,,
850,375 kW,,,Automatic,2/3 doors,C 63 AMG,,,20 093 km,,,249 g/km,,12/2022,,,,,Euro 6d-TEMP,Petrol,4x2,,,Coupe,Mercedes-Benz,Black interior,,mercedes-benz c-63-amg,EUR,,3 982 ccm,not published by the seller,61185600,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display,Metallic,94349,11 l/100km (combined); 11.9 l/100km (city); 7.1 l/100km ,,Full leather interior,Black,1,4,,
851,67 kW,,,Manual,4/5 doors,Captur,Used,,28 732 km,,,121 g/km,,4/2021,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Renault,,,renault captur,EUR,,999 ccm,not published by the seller,61185596,Traffic sign recognition; Rear parking camera; Automatic lights; Hill-start assist; Autom. dimming side mirros; Electrically heated side mirrors; Front electric windows,,18499,5.9 l/100km (combined),,,Grey,,5,12/2024,
852,110 kW,,,Manual,4/5 doors,Q3,Used,,62 000 km,,,146 g/km,,4/2019,,,,,Euro 6d-TEMP,Diesel,4x4,,,SUV / offroad,Audi,Black interior,,audi q3,EUR,1535,1 968 ccm,not published by the seller,61185589,LED headlights; Digital cockpit; Heated front seats; Navigation system; El. tailgate; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist; Lane assist,Metallic,30449,5.5 l/100km (combined),,Cloth interior,Black,,5,,
853,206 kW,Full hybrid,No,Automatic,4/5 doors,Tonale,Used,,5 000 km,,16 kWh,26 g/km,,9/2023,,,,,Euro 6,Hybrid,4x2,,,SUV / offroad,Alfa Romeo,,,alfa-romeo tonale,EUR,,1 332 ccm,not published by the seller,61185572,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor,Metallic,50199,,,Part leather interior,Blue,1,5,,65 km
854,62 kW,,,Automatic,4/5 doors,Picanto,Used,,20 290 km,,,135 g/km,,10/2022,,,,,No emission class,Petrol,4x2,,,Hatchback,Kia,Black interior,,kia picanto,EUR,,1 197 ccm,not published by the seller,61185584,Heated front seats; Integrated music streaming; Navigation system; Heated steering wheel; Bluetooth; Induction charging for smartphones; Automatic A/C; Light sensor; Hill-start assist; Front collision warning system,Metallic,19399,5.9 l/100km (combined),,Cloth interior,Black,1,5,,
855,165 kW,Full hybrid,No,Automatic,4/5 doors,3008,Used,,82 018 km,,14 kWh,124 g/km,,7/2020,,,,,Euro 6,Hybrid,4x2,,,SUV / offroad,Peugeot,,,peugeot 3008,EUR,,1 598 ccm,not published by the seller,61185582,Head-up display; Automatic multi-zone A/C; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment,Metallic,24199,6.9 l/100km (combined),,,,1,5,12/2024,56 km
856,96 kW,,,Manual,4/5 doors,C5 Aircross,Used,,25 990 km,,,119 g/km,,7/2020,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Citroen,Black interior,,citroen c5-aircross,EUR,,1 199 ccm,not published by the seller,61185575,Automatic multi-zone A/C,,25449,6.2 l/100km (combined),,,White,1,5,12/2024,
857,397 kW,,,Automatic,2/3 doors,R8,,,25 044 km,,,303 g/km,,12/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,Cabriolet,Audi,Black interior,,audi r8,EUR,,5 204 ccm,not published by the seller,61185571,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Keyless ignition; Navigation system; Glare-free high beam headlights; Sport front seats; Bluetooth; Automatic 2-zones air conditioning,Metallic,147099,13.2 l/100km (combined),,Full leather interior,Grey,1,2,,
858,85 kW,,,Automatic,4/5 doors,A 180,Used,,16 101 km,,,132 g/km,,3/2023,,,,,Euro 6,Diesel,4x2,,,Hatchback,Mercedes-Benz,,,mercedes-benz a-180,EUR,,1 950 ccm,not published by the seller,61185578,Internet connection; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Traffic sign recognition; Rear parking camera; Adaptive lighting,,38749,5 l/100km (combined),,,Black,,5,12/2025,
859,150 kW,,,Automatic,4/5 doors,ProCeed,,,42 037 km,12/2024,,142 g/km,,2/2020,,,,,Euro 6d,Petrol,4x2,,,Hatchback,Kia,Black interior,,kia proceed,EUR,,1 591 ccm,not published by the seller,61185583,Heated rear seats; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Heated steering wheel,Metallic,28399,6.8 l/100km (combined),,Part leather interior,Blue,2,5,,
860,110 kW,,,Automatic,4/5 doors,T-Roc,Used,,25 990 km,,,127 g/km,,10/2020,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Volkswagen,Black interior,,volkswagen t-roc,EUR,,1 498 ccm,not published by the seller,61185593,Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; El. tailgate; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,Metallic,25849,5.6 l/100km (combined),,Cloth interior,Grey,,5,,
861,92 kW,,,Manual,4/5 doors,Puma,Used,,43 691 km,,,106 g/km,,12/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,SUV / offroad,Ford,Other interior color,,ford puma,EUR,1180,998 ccm,not published by the seller,61185590,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,,26299,5.7 l/100km (combined),,Part leather interior,Grey,,5,,
862,110 kW,,,Manual,4/5 doors,Octavia,,,55 675 km,,,124 g/km,,11/2018,,,,,Euro 6,Petrol,4x2,,,Station Wagon,Skoda,Black interior,,skoda octavia,EUR,,1 498 ccm,not published by the seller,61185595,Heated front seats; Apple CarPlay; Android auto; Voice control; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel,,18999,5.3 l/100km (combined),,Cloth interior,White,,5,,
863,147 kW,,,Automatic,4/5 doors,Golf,,,38 590 km,,,128 g/km,,3/2022,,,,,Euro 6d,Diesel,4x4,,,Station Wagon,Volkswagen,Grey interior,,volkswagen golf,EUR,,1 968 ccm,not published by the seller,61185591,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,Metallic,40549,4.8 l/100km (combined); 6 l/100km (city); 4.2 l/100km ,,Cloth interior,Black,1,5,,
864,96 kW,,,Manual,4/5 doors,4 Crossback,Used,,51 888 km,,,114 g/km,,8/2017,,,,,Euro 6,Petrol,4x2,,,Hatchback,DS Automobiles,,,ds-automobiles 4-crossback,EUR,,1 199 ccm,not published by the seller,61185594,Automatic multi-zone A/C; Navigation system; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel,,15199,4.8 l/100km (combined),,,Grey,,5,12/2024,
865,215 kW,,,Automatic,4/5 doors,330,,,16 200 km,,,0 g/km,,1/2022,,,,,No emission class,Hybrid,4x2,,,Sedans / saloons,BMW,Black interior,,bmw 330,EUR,,1 998 ccm,not published by the seller,61185585,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control,Metallic,39349,,,Part leather interior,Grey,1,5,,
866,375 kW,,,Automatic,2/3 doors,C 63 AMG,,,20 093 km,,,249 g/km,,12/2022,,,,,Euro 6d-TEMP,Petrol,4x2,,,Coupe,Mercedes-Benz,Black interior,,mercedes-benz c-63-amg,EUR,,3 982 ccm,not published by the seller,61185600,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display,Metallic,94349,11 l/100km (combined); 11.9 l/100km (city); 7.1 l/100km ,,Full leather interior,Black,1,4,,
867,67 kW,,,Manual,4/5 doors,Captur,Used,,28 732 km,,,121 g/km,,4/2021,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Renault,,,renault captur,EUR,,999 ccm,not published by the seller,61185596,Traffic sign recognition; Rear parking camera; Automatic lights; Hill-start assist; Autom. dimming side mirros; Electrically heated side mirrors; Front electric windows,,18499,5.9 l/100km (combined),,,Grey,,5,12/2024,
868,120 kW,,,Manual,2/3 doors,Boxer,Used,,46 548 km,,,163 g/km,,1/2019,,,Germany,,Euro 6,Diesel,4x2,,,Cargo VAN,Peugeot,Black interior,,peugeot boxer,EUR,2060,1 997 ccm,not published by the seller,61185598,Air suspension; Bluetooth; Rain sensor; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; USB; Front electric windows,,26249,6.2 l/100km (combined); 6.2 l/100km (city); 6.2 l/100km ,,Cloth interior,White,,3,,
869,150 kW,Plug-in hybrid,No,Automatic,4/5 doors,Golf,,,24 160 km,,13 kWh,106 g/km,85 kW,4/2021,,Lithium-ion (Li-ion),,,Euro 6d,Hybrid,4x2,4 h,,Hatchback,Volkswagen,Grey interior,110 kW,volkswagen golf,EUR,,1 395 ccm,not published by the seller,61185567,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; Heated steering wheel,,24149,4.6 l/100km (combined),,Cloth interior,White,1,5,,
870,397 kW,,,Automatic,2/3 doors,R8,,,25 044 km,,,303 g/km,,12/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,Cabriolet,Audi,Black interior,,audi r8,EUR,,5 204 ccm,not published by the seller,61185571,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Keyless ignition; Navigation system; Glare-free high beam headlights; Sport front seats; Bluetooth; Automatic 2-zones air conditioning,Metallic,147099,13.2 l/100km (combined),,Full leather interior,Grey,1,2,,
871,85 kW,,,Automatic,4/5 doors,A 180,Used,,16 101 km,,,132 g/km,,3/2023,,,,,Euro 6,Diesel,4x2,,,Hatchback,Mercedes-Benz,,,mercedes-benz a-180,EUR,,1 950 ccm,not published by the seller,61185578,Internet connection; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Traffic sign recognition; Rear parking camera; Adaptive lighting,,38749,5 l/100km (combined),,,Black,,5,12/2025,
872,54 kW,,,Manual,4/5 doors,Sandero,Used,,40 500 km,,,135 g/km,,1/2018,,,,,,Petrol,4x2,,,Hatchback,Dacia,,,dacia sandero,EUR,,999 ccm,UU15SDMC559752543,61185569,Bluetooth; Daytime running lights; USB; Front electric windows,,9199,5.8 l/100km (combined),,Cloth interior,White,,5,,
873,206 kW,Full hybrid,No,Automatic,4/5 doors,Tonale,Used,,5 000 km,,16 kWh,26 g/km,,9/2023,,,,,Euro 6,Hybrid,4x2,,,SUV / offroad,Alfa Romeo,,,alfa-romeo tonale,EUR,,1 332 ccm,not published by the seller,61185572,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor,Metallic,50199,,,Part leather interior,Blue,1,5,,65 km
874,51 kW,,,Manual,4/5 doors,Ypsilon,Used,,28 000 km,,,90 g/km,,10/2022,,,,,Euro 6d-TEMP,Hybrid,4x2,,,Hatchback,Lancia,Other interior color,,lancia ypsilon,EUR,1055,999 ccm,not published by the seller,61185568,Bluetooth; Side mirrors with electic adjustment,,14749,4 l/100km (combined); 4 l/100km (city); 4 l/100km ,,Other interior material,White,,4,,
875,169 kW,Plug-in hybrid,No,Automatic,4/5 doors,Tucson,Demonstration car,200000 km,20 km,,,124 g/km,44 kW,12/2023,,Lithium polymer (Li-pol),,,No emission class,Hybrid,4x4,,,SUV / offroad,Hyundai,Black interior,,hyundai tucson,EUR,1845,1 598 ccm,not published by the seller,61185579,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,Metallic,52099,5.4 l/100km (combined),,Other interior material,Grey,,5,,
876,62 kW,,,Automatic,4/5 doors,Picanto,Used,,20 290 km,,,135 g/km,,10/2022,,,,,No emission class,Petrol,4x2,,,Hatchback,Kia,Black interior,,kia picanto,EUR,,1 197 ccm,not published by the seller,61185584,Heated front seats; Integrated music streaming; Navigation system; Heated steering wheel; Bluetooth; Induction charging for smartphones; Automatic A/C; Light sensor; Hill-start assist; Front collision warning system,Metallic,19399,5.9 l/100km (combined),,Cloth interior,Black,1,5,,
877,165 kW,Full hybrid,No,Automatic,4/5 doors,3008,Used,,82 018 km,,14 kWh,124 g/km,,7/2020,,,,,Euro 6,Hybrid,4x2,,,SUV / offroad,Peugeot,,,peugeot 3008,EUR,,1 598 ccm,not published by the seller,61185582,Head-up display; Automatic multi-zone A/C; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment,Metallic,24199,6.9 l/100km (combined),,,,1,5,12/2024,56 km
878,96 kW,,,Manual,4/5 doors,C5 Aircross,Used,,25 990 km,,,119 g/km,,7/2020,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Citroen,Black interior,,citroen c5-aircross,EUR,,1 199 ccm,not published by the seller,61185575,Automatic multi-zone A/C,,25449,6.2 l/100km (combined),,,White,1,5,12/2024,
879,150 kW,,,Automatic,4/5 doors,ProCeed,,,42 037 km,12/2024,,142 g/km,,2/2020,,,,,Euro 6d,Petrol,4x2,,,Hatchback,Kia,Black interior,,kia proceed,EUR,,1 591 ccm,not published by the seller,61185583,Heated rear seats; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Heated steering wheel,Metallic,28399,6.8 l/100km (combined),,Part leather interior,Blue,2,5,,
880,206 kW,Full hybrid,No,Automatic,4/5 doors,Tonale,Used,,5 000 km,,16 kWh,26 g/km,,9/2023,,,,,Euro 6,Hybrid,4x2,,,SUV / offroad,Alfa Romeo,,,alfa-romeo tonale,EUR,,1 332 ccm,not published by the seller,61185572,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor,Metallic,50199,,,Part leather interior,Blue,1,5,,65 km
881,81 kW,,,Manual,4/5 doors,C3 Aircross,Used,,42 621 km,,,115 g/km,,3/2021,,,Spain,,No emission class,Petrol,4x2,,,SUV / offroad,Citroen,Other interior color,,citroen c3-aircross,EUR,,1 200 ccm,not published by the seller,61185560,Bluetooth; USB,,18999,6 l/100km (combined); 6.2 l/100km (city); 6.2 l/100km ,,Other interior material,White,,,,
882,215 kW,,,Automatic,4/5 doors,330,,,7 400 km,,,0 g/km,,2/2022,,,,,No emission class,Hybrid,4x2,,,Sedans / saloons,BMW,Black interior,,bmw 330,EUR,,1 998 ccm,not published by the seller,61185559,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control,Metallic,39499,,,Part leather interior,Black,1,5,,
883,106 kW,,,Manual,4/5 doors,Vivaro,,,2 km,12/2026,,206 g/km,,12/2023,,,,,Euro 6d,Diesel,4x2,,,Cargo VAN,Opel,Grey interior,,opel vivaro,EUR,,1 997 ccm,not published by the seller,61185554,Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer,,34149,7.9 l/100km (combined); 9.2 l/100km (city); 6.8 l/100km ,,Cloth interior,White,,3,,
884,92 kW,,,Automatic,4/5 doors,Focus,Used,,68 157 km,,,126 g/km,,10/2019,,,,,Euro 6,Petrol,4x2,,,Hatchback,Ford,Black interior,,ford focus,EUR,1271,999 ccm,not published by the seller,61185564,Keyless entry; Keyless ignition; Voice control; Navigation system; Sport front seats; Bluetooth; Automatic A/C; Light sensor; Lane assist; Hill-start assist,Metallic,19049,5.6 l/100km (combined),,Cloth interior,Black,,5,,
885,85 kW,,,Automatic,4/5 doors,116,Demonstration car,,10 000 km,,,128 g/km,,12/2023,,,,,Euro 6,Diesel,4x2,,,Hatchback,BMW,Black interior,,bmw 116,EUR,,1 496 ccm,not published by the seller,61185557,LED headlights; Heated front seats; Head-up display; WLAN/Wifi hotspot; Navigation system; Heated steering wheel; Sport front seats; Sport-suspension system; Automatic A/C; High beam assist,,45349,4.8 l/100km (combined),,Cloth interior,Grey,,,,
886,92 kW,,,Manual,4/5 doors,Puma,Used,,19 400 km,,,99 g/km,,2/2022,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Ford,,,ford puma,EUR,,999 ccm,not published by the seller,61185552,Apple CarPlay; Android auto; Navigation system; Bluetooth; Rear parking camera; Daytime running lights; USB; Alloy wheels,,19549,5.6 l/100km (combined),,,Grey,,5,06/2024,
887,184 kW,,,Automatic,4/5 doors,S60,Used,,92 702 km,,,152 g/km,,1/2020,,,,,,Petrol,4x2,,,Sedans / saloons,Volvo,,,volvo s60,EUR,,1 969 ccm,7JRZSL1VDMG095861,61185556,Panoramic roof; Leather; Automatic A/C; Rain sensor,,36849,6.6 l/100km (combined),,Full leather interior,Black,,5,,
888,70 kW,,,Manual,4/5 doors,Polo,Used,,65 860 km,,,110 g/km,,1/2021,,,,,Euro 6,Petrol,4x2,,,Hatchback,Volkswagen,,,volkswagen polo,EUR,,999 ccm,not published by the seller,61185565,Voice control; Automatic lights; Blind spot assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors,,15899,5.2 l/100km (combined); 5.7 l/100km (city); 4 l/100km ,,,Grey,1,5,12/2024,
889,163 kW,,No,Automatic,4/5 doors,RAV 4,Used,,74 125 km,,2 kWh,0 g/km,,12/2021,,,,,Euro 6,Hybrid,4x4,,Petrol,SUV / offroad,Toyota,,,toyota rav-4,EUR,,2 487 ccm,not published by the seller,61185549,Front seats with memory; Adaptive cruise control; Heated front seats; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Automatic lights; Rain sensor,,39299,4.4 l/100km (combined); 4.5 l/100km (city); 4.6 l/100km ,,,Black,1,5,12/2026,
890,63 kW,,,Manual,4/5 doors,Fiesta,,,73 100 km,11/2024,,96 g/km,,11/2019,,,,,Euro 6d-TEMP,Diesel,4x2,,,Hatchback,Ford,Black interior,,ford fiesta,EUR,,1 499 ccm,not published by the seller,61185563,Parking assist system self-steering; LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Voice control; Navigation system; Glare-free high beam headlights,Metallic,14699,3.5 l/100km (combined); 3.8 l/100km (city); 3.3 l/100km ,,Cloth interior,Blue,1,5,,
891,180 kW,Full hybrid,No,Automatic,4/5 doors,X1,Used,,4 850 km,,17 kWh,15 g/km,,8/2023,,,,,Euro 6,Hybrid,4x4,,,SUV / offroad,BMW,,,bmw x1,EUR,,1 499 ccm,not published by the seller,61185566,Digital cockpit; Harman/Kardon audio; Heated front seats; Head-up display; Panoramic roof; Heated steering wheel; Sport front seats; Alcantara interior; Autom. dimming side mirros; Leather steering wheel,Metallic,64699,,,Alcantara interior,Silver,,5,,71 km
892,140 kW,,,Automatic,4/5 doors,XC60,,,101 900 km,,,124 g/km,,9/2017,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Volvo,Black interior,,volvo xc60,EUR,,1 969 ccm,not published by the seller,61185558,Digital cockpit; Electric adjustable front seats; Heated front seats; Integrated music streaming; Voice control; Navigation system; El. tailgate; Bi-xenon headlights; Bluetooth; Adaptive lighting,Metallic,26699,4.7 l/100km (combined); 5.5 l/100km (city); 4.3 l/100km ,,Full leather interior,Black,,5,,
893,60 kW,,No,Automatic,2/3 doors,ForTwo,Used,100000 km,29 576 km,,18 kWh,0 g/km,60 kW,10/2018,,Lithium-ion (Li-ion),,,No emission class,Electric,4x2,1 h,,Hatchback,Smart,Black interior,,smart fortwo,EUR,1015,,not published by the seller,61185562,Heated front seats; Voice control; Navigation system; Bluetooth; Leather; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel,Metallic,16049,11.4 kWh/100km (combined),,Full leather interior,Black,,2,,
894,162 kW,,No,Automatic,4/5 doors,Megane,Used,,29 822 km,,60 kWh,0 g/km,,7/2022,,,,,Euro 6,Electric,4x2,,,Hatchback,Renault,,,renault megane,EUR,,,not published by the seller,61185547,Front seats with memory; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Glare-free high beam headlights; Traffic sign recognition; Rear parking camera,,35149,,,,Black,1,5,12/2024,428 km
